"TIME","GEO","UNIT","PURPOSE","DURATION","PARTNER","Value","Flag and Footnotes"
"2011","Slovakia","Thousand euro","Total","1 night or over","Domestic","745,869",""
"2011","Finland","Thousand euro","Total","1 night or over","Domestic","5,763,000",""
"2011","Sweden","Thousand euro","Total","1 night or over","Domestic","6,975,127",""
"2011","United Kingdom","Thousand euro","Total","1 night or over","Domestic","20,368,440",""
"2011","Iceland","Thousand euro","Total","1 night or over","Domestic",":",""
"2011","Norway","Thousand euro","Total","1 night or over","Domestic","5,877,024",""
"2011","Switzerland","Thousand euro","Total","1 night or over","Domestic",":","u"
"2012","Belgium","Thousand euro","Total","1 night or over","Domestic","631,165.43",""
"2012","Bulgaria","Thousand euro","Total","1 night or over","Domestic","323,538.81","b"
"2012","Czechia","Thousand euro","Total","1 night or over","Domestic","1,549,000.96",""
"2012","Denmark","Thousand euro","Total","1 night or over","Domestic","2,860,595.48",""
"2012","Germany (until 1990 former territory of the FRG)","Thousand euro","Total","1 night or over","Domestic","43,707,932.51",""
"2012","Estonia","Thousand euro","Total","1 night or over","Domestic","106,058.61",""
"2012","Ireland","Thousand euro","Total","1 night or over","Domestic","1,155,672.52",""
"2012","Greece","Thousand euro","Total","1 night or over","Domestic","1,198,562.14",""
"2012","Spain","Thousand euro","Total","1 night or over","Domestic","17,683,706.42",""
"2012","France","Thousand euro","Total","1 night or over","Domestic","51,159,843.2","b"
"2012","Croatia","Thousand euro","Total","1 night or over","Domestic","848,633.58",""
"2012","Italy","Thousand euro","Total","1 night or over","Domestic","16,252,068.46",""
"2012","Cyprus","Thousand euro","Total","1 night or over","Domestic","97,706.11","b"
"2012","Latvia","Thousand euro","Total","1 night or over","Domestic","133,950.61",""
"2012","Lithuania","Thousand euro","Total","1 night or over","Domestic","116,630.65",""
"2012","Luxembourg","Thousand euro","Total","1 night or over","Domestic","7,393.99",""
"2012","Hungary","Thousand euro","Total","1 night or over","Domestic","830,096.95",""
"2012","Malta","Thousand euro","Total","1 night or over","Domestic","25,815.61",""
"2012","Netherlands","Thousand euro","Total","1 night or over","Domestic","2,976,891.1","b"
"2012","Austria","Thousand euro","Total","1 night or over","Domestic","3,770,100.04",""
"2012","Poland","Thousand euro","Total","1 night or over","Domestic","8,465,522.51",""
"2012","Portugal","Thousand euro","Total","1 night or over","Domestic","1,064,499.72",""
"2012","Romania","Thousand euro","Total","1 night or over","Domestic","1,410,525.91",""
"2012","Slovenia","Thousand euro","Total","1 night or over","Domestic","197,405.55",""
"2012","Slovakia","Thousand euro","Total","1 night or over","Domestic","858,572.37",""
