"TIME","GEO","UNIT","DURATION","PARTNER","AGE","Value","Flag and Footnotes"
"2012","Croatia","Number","1 night or over","Domestic","From 45 to 64 years","255,501","u"
"2012","Croatia","Number","1 night or over","Domestic","From 55 to 64 years","109,209","u"
"2012","Croatia","Number","1 night or over","Domestic","65 years or over","101,109","u"
"2012","Italy","Number","1 night or over","Domestic","Less than 15 years","4,792,920",""
"2012","Italy","Number","1 night or over","Domestic","From 15 to 24 years","2,311,943",""
"2012","Italy","Number","1 night or over","Domestic","From 25 to 34 years","2,373,112",""
"2012","Italy","Number","1 night or over","Domestic","From 25 to 44 years","7,492,384",""
"2012","Italy","Number","1 night or over","Domestic","From 35 to 44 years","5,119,272",""
"2012","Italy","Number","1 night or over","Domestic","From 45 to 54 years","3,933,140",""
"2012","Italy","Number","1 night or over","Domestic","From 45 to 64 years","6,307,040",""
"2012","Italy","Number","1 night or over","Domestic","From 55 to 64 years","2,373,900",""
"2012","Italy","Number","1 night or over","Domestic","65 years or over","2,431,191",""
"2012","Cyprus","Number","1 night or over","Domestic","Less than 15 years",":",""
"2012","Cyprus","Number","1 night or over","Domestic","From 15 to 24 years","41,297","e"
"2012","Cyprus","Number","1 night or over","Domestic","From 25 to 34 years","44,851","e"
"2012","Cyprus","Number","1 night or over","Domestic","From 25 to 44 years","78,232","e"
"2012","Cyprus","Number","1 night or over","Domestic","From 35 to 44 years","33,381","e"
"2012","Cyprus","Number","1 night or over","Domestic","From 45 to 54 years","25,682","e"
"2012","Cyprus","Number","1 night or over","Domestic","From 45 to 64 years","51,504","e"
"2012","Cyprus","Number","1 night or over","Domestic","From 55 to 64 years","25,822","e"
"2012","Cyprus","Number","1 night or over","Domestic","65 years or over","31,973","e"
"2012","Latvia","Number","1 night or over","Domestic","Less than 15 years",":",""
"2012","Latvia","Number","1 night or over","Domestic","From 15 to 24 years","56,364",""
"2012","Latvia","Number","1 night or over","Domestic","From 25 to 34 years","92,778",""
"2012","Latvia","Number","1 night or over","Domestic","From 25 to 44 years","148,599",""
"2012","Latvia","Number","1 night or over","Domestic","From 35 to 44 years","55,821",""
"2012","Latvia","Number","1 night or over","Domestic","From 45 to 54 years","79,954",""
"2012","Latvia","Number","1 night or over","Domestic","From 45 to 64 years","133,395",""
"2012","Latvia","Number","1 night or over","Domestic","From 55 to 64 years","53,441",""
"2012","Latvia","Number","1 night or over","Domestic","65 years or over","66,359",""
"2012","Lithuania","Number","1 night or over","Domestic","Less than 15 years",":",""
"2012","Lithuania","Number","1 night or over","Domestic","From 15 to 24 years","113,917",""
"2012","Lithuania","Number","1 night or over","Domestic","From 25 to 34 years","131,225",""
"2012","Lithuania","Number","1 night or over","Domestic","From 25 to 44 years","240,582",""
"2012","Lithuania","Number","1 night or over","Domestic","From 35 to 44 years","109,357",""
"2012","Lithuania","Number","1 night or over","Domestic","From 45 to 54 years","106,081",""
"2012","Lithuania","Number","1 night or over","Domestic","From 45 to 64 years","186,962",""
"2012","Lithuania","Number","1 night or over","Domestic","From 55 to 64 years","80,881",""
"2012","Lithuania","Number","1 night or over","Domestic","65 years or over","101,561",""
"2012","Luxembourg","Number","1 night or over","Domestic","Less than 15 years",":",""
"2012","Luxembourg","Number","1 night or over","Domestic","From 15 to 24 years","441",""
"2012","Luxembourg","Number","1 night or over","Domestic","From 25 to 34 years","390",""
"2012","Luxembourg","Number","1 night or over","Domestic","From 25 to 44 years","390",""
"2012","Luxembourg","Number","1 night or over","Domestic","From 35 to 44 years","0",""
"2012","Luxembourg","Number","1 night or over","Domestic","From 45 to 54 years","228",""
"2012","Luxembourg","Number","1 night or over","Domestic","From 45 to 64 years","549",""
"2012","Luxembourg","Number","1 night or over","Domestic","From 55 to 64 years","321",""
"2012","Luxembourg","Number","1 night or over","Domestic","65 years or over","1,259",""
"2012","Hungary","Number","1 night or over","Domestic","Less than 15 years",":",""
"2012","Hungary","Number","1 night or over","Domestic","From 15 to 24 years","387,789",""
"2012","Hungary","Number","1 night or over","Domestic","From 25 to 34 years","422,572",""
"2012","Hungary","Number","1 night or over","Domestic","From 25 to 44 years","972,969",""
"2012","Hungary","Number","1 night or over","Domestic","From 35 to 44 years","550,397",""
"2012","Hungary","Number","1 night or over","Domestic","From 45 to 54 years","437,616",""
"2012","Hungary","Number","1 night or over","Domestic","From 45 to 64 years","908,377",""
"2012","Hungary","Number","1 night or over","Domestic","From 55 to 64 years","470,761",""
"2012","Hungary","Number","1 night or over","Domestic","65 years or over","485,297",""
"2012","Malta","Number","1 night or over","Domestic","Less than 15 years",":",""
"2012","Malta","Number","1 night or over","Domestic","From 15 to 24 years","16,964",""
"2012","Malta","Number","1 night or over","Domestic","From 25 to 34 years","16,650",""
"2012","Malta","Number","1 night or over","Domestic","From 25 to 44 years","29,510",""
"2012","Malta","Number","1 night or over","Domestic","From 35 to 44 years","12,859",""
"2012","Malta","Number","1 night or over","Domestic","From 45 to 54 years","10,823",""
"2012","Malta","Number","1 night or over","Domestic","From 45 to 64 years","21,545",""
"2012","Malta","Number","1 night or over","Domestic","From 55 to 64 years","10,723",""
"2012","Malta","Number","1 night or over","Domestic","65 years or over","7,555",""
"2012","Netherlands","Number","1 night or over","Domestic","Less than 15 years",":",""
"2012","Netherlands","Number","1 night or over","Domestic","From 15 to 24 years","532,178",""
"2012","Netherlands","Number","1 night or over","Domestic","From 25 to 34 years","517,595",""
"2012","Netherlands","Number","1 night or over","Domestic","From 25 to 44 years","1,027,708",""
"2012","Netherlands","Number","1 night or over","Domestic","From 35 to 44 years","510,113",""
"2012","Netherlands","Number","1 night or over","Domestic","From 45 to 54 years","546,974",""
"2012","Netherlands","Number","1 night or over","Domestic","From 45 to 64 years","999,851",""
"2012","Netherlands","Number","1 night or over","Domestic","From 55 to 64 years","452,877",""
"2012","Netherlands","Number","1 night or over","Domestic","65 years or over","640,126",""
"2012","Austria","Number","1 night or over","Domestic","Less than 15 years",":",""
"2012","Austria","Number","1 night or over","Domestic","From 15 to 24 years","183,968",""
"2012","Austria","Number","1 night or over","Domestic","From 25 to 34 years","203,981",""
"2012","Austria","Number","1 night or over","Domestic","From 25 to 44 years","515,775",""
"2012","Austria","Number","1 night or over","Domestic","From 35 to 44 years","311,795",""
"2012","Austria","Number","1 night or over","Domestic","From 45 to 54 years","253,919",""
"2012","Austria","Number","1 night or over","Domestic","From 45 to 64 years","421,235",""
"2012","Austria","Number","1 night or over","Domestic","From 55 to 64 years","167,315",""
"2012","Austria","Number","1 night or over","Domestic","65 years or over","234,120",""
"2012","Poland","Number","1 night or over","Domestic","Less than 15 years",":",""
"2012","Poland","Number","1 night or over","Domestic","From 15 to 24 years","2,500,000",""
"2012","Poland","Number","1 night or over","Domestic","From 25 to 34 years","2,960,000",""
"2012","Poland","Number","1 night or over","Domestic","From 25 to 44 years","4,860,000",""
"2012","Poland","Number","1 night or over","Domestic","From 35 to 44 years","1,900,000",""
"2012","Poland","Number","1 night or over","Domestic","From 45 to 54 years","1,410,000",""
"2012","Poland","Number","1 night or over","Domestic","From 45 to 64 years","3,180,000",""
"2012","Poland","Number","1 night or over","Domestic","From 55 to 64 years","1,770,000",""
"2012","Poland","Number","1 night or over","Domestic","65 years or over","780,000",""
"2012","Portugal","Number","1 night or over","Domestic","Less than 15 years",":",""
"2012","Portugal","Number","1 night or over","Domestic","From 15 to 24 years","345,954",""
"2012","Portugal","Number","1 night or over","Domestic","From 25 to 34 years","366,171",""
"2012","Portugal","Number","1 night or over","Domestic","From 25 to 44 years","917,740",""
"2012","Portugal","Number","1 night or over","Domestic","From 35 to 44 years","551,569",""
"2012","Portugal","Number","1 night or over","Domestic","From 45 to 54 years","377,883",""
"2012","Portugal","Number","1 night or over","Domestic","From 45 to 64 years","843,673",""
"2012","Portugal","Number","1 night or over","Domestic","From 55 to 64 years","465,790",""
"2012","Portugal","Number","1 night or over","Domestic","65 years or over","446,579",""
"2012","Romania","Number","1 night or over","Domestic","Less than 15 years",":",""
"2012","Romania","Number","1 night or over","Domestic","From 15 to 24 years","669,080",""
"2012","Romania","Number","1 night or over","Domestic","From 25 to 34 years","872,875",""
"2012","Romania","Number","1 night or over","Domestic","From 25 to 44 years","1,714,021",""
"2012","Romania","Number","1 night or over","Domestic","From 35 to 44 years","841,146",""
"2012","Romania","Number","1 night or over","Domestic","From 45 to 54 years","454,307",""
"2012","Romania","Number","1 night or over","Domestic","From 45 to 64 years","920,896",""
"2012","Romania","Number","1 night or over","Domestic","From 55 to 64 years","466,589",""
"2012","Romania","Number","1 night or over","Domestic","65 years or over","378,797",""
"2012","Slovenia","Number","1 night or over","Domestic","Less than 15 years",":",""
"2012","Slovenia","Number","1 night or over","Domestic","From 15 to 24 years","28,846",""
"2012","Slovenia","Number","1 night or over","Domestic","From 25 to 34 years","27,214",""
"2012","Slovenia","Number","1 night or over","Domestic","From 25 to 44 years","62,485",""
"2012","Slovenia","Number","1 night or over","Domestic","From 35 to 44 years","35,272",""
"2012","Slovenia","Number","1 night or over","Domestic","From 45 to 54 years","54,168",""
"2012","Slovenia","Number","1 night or over","Domestic","From 45 to 64 years","105,588",""
"2012","Slovenia","Number","1 night or over","Domestic","From 55 to 64 years","51,420",""
"2012","Slovenia","Number","1 night or over","Domestic","65 years or over","47,256",""
"2012","Slovakia","Number","1 night or over","Domestic","Less than 15 years",":",""
"2012","Slovakia","Number","1 night or over","Domestic","From 15 to 24 years","180,869",""
"2012","Slovakia","Number","1 night or over","Domestic","From 25 to 34 years","186,262",""
"2012","Slovakia","Number","1 night or over","Domestic","From 25 to 44 years","390,261",""
"2012","Slovakia","Number","1 night or over","Domestic","From 35 to 44 years","203,999",""
"2012","Slovakia","Number","1 night or over","Domestic","From 45 to 54 years","149,324",""
"2012","Slovakia","Number","1 night or over","Domestic","From 45 to 64 years","306,436",""
"2012","Slovakia","Number","1 night or over","Domestic","From 55 to 64 years","157,112",""
"2012","Slovakia","Number","1 night or over","Domestic","65 years or over","115,442",""
"2012","Finland","Number","1 night or over","Domestic","Less than 15 years",":",""
"2012","Finland","Number","1 night or over","Domestic","From 15 to 24 years","227,333",""
"2012","Finland","Number","1 night or over","Domestic","From 25 to 34 years","202,537",""
"2012","Finland","Number","1 night or over","Domestic","From 25 to 44 years","414,301",""
"2012","Finland","Number","1 night or over","Domestic","From 35 to 44 years","211,764",""
"2012","Finland","Number","1 night or over","Domestic","From 45 to 54 years","229,695",""
"2012","Finland","Number","1 night or over","Domestic","From 45 to 64 years","524,648",""
"2012","Finland","Number","1 night or over","Domestic","From 55 to 64 years","294,953",""
"2012","Finland","Number","1 night or over","Domestic","65 years or over","322,233",""
"2012","Sweden","Number","1 night or over","Domestic","Less than 15 years",":",""
"2012","Sweden","Number","1 night or over","Domestic","From 15 to 24 years",":","u"
"2012","Sweden","Number","1 night or over","Domestic","From 25 to 34 years",":","u"
"2012","Sweden","Number","1 night or over","Domestic","From 25 to 44 years",":","u"
"2012","Sweden","Number","1 night or over","Domestic","From 35 to 44 years",":","u"
"2012","Sweden","Number","1 night or over","Domestic","From 45 to 54 years",":","u"
"2012","Sweden","Number","1 night or over","Domestic","From 45 to 64 years",":","u"
"2012","Sweden","Number","1 night or over","Domestic","From 55 to 64 years",":","u"
